GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42327,2025-06-30 23:54:15.857202+00:00,GamerTower+410,Lord of the Hundreds,3,19,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42327,2025-06-30 23:54:15.857202+00:00,Napalminthebirdsong+5528,Keepers in Iron,4,22,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42327,2025-06-30 23:54:15.857202+00:00,mouseinabox+992,Vagabond (Harrier),1,22,0,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42327,2025-06-30 23:54:15.857202+00:00,Riverman+1204,Eyrie Dynasties,2,31,1,Autumn,Random,Exiles and Partisans,Underground Duchy,Async,,M02
DbInput!42324,2025-06-30 20:45:12.249090+00:00,YrBodyIsNothing+8271,Eyrie Dynasties,4,15,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42324,2025-06-30 20:45:12.249090+00:00,CaptCarnage014+3262,Lord of the Hundreds,3,14,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42324,2025-06-30 20:45:12.249090+00:00,Napalminthebirdsong+5528,Lizard Cult,2,28,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42324,2025-06-30 20:45:12.249090+00:00,nikkan+7933,Keepers in Iron,1,31,1,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42323,2025-06-30 10:43:38.874616+00:00,Talleyrand19+7210,Lord of the Hundreds,4,9,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M02
DbInput!42323,2025-06-30 10:43:38.874616+00:00,Hayjay+3964,Underground Duchy,3,31,1,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M02
DbInput!42323,2025-06-30 10:43:38.874616+00:00,AERotters+5277,Riverfolk Company,2,25,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M02
DbInput!42323,2025-06-30 10:43:38.874616+00:00,Decoy+2687,Corvid Conspiracy,1,27,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M02
DbInput!42322,2025-06-30 07:45:40.308800+00:00,EarlofEarl+908,Keepers in Iron,4,24,0,Autumn,Random,Exiles and Partisans,,Async,,M02
